epoch,epoch_loss,split,loss,acc,sample_fn
0,2.446464,train,1.6584964,0.4045611728730245,gumbel_soft
0,2.446464,val,1.6413981,0.4111347654990001,gumbel_soft
0,2.446464,test,1.6559511,0.4036500579374276,gumbel_soft
1,1.3942639,train,1.1922685,0.5288002629247521,gumbel_soft
1,1.3942639,val,1.2144216,0.5179665828011096,gumbel_soft
1,1.3942639,test,1.1864682,0.5328505214368482,gumbel_soft
2,1.0675077,train,0.93749374,0.6299619902260581,gumbel_soft
2,1.0675077,val,0.955921,0.6262821753435263,gumbel_soft
2,1.0675077,test,0.93554467,0.6325608342989572,gumbel_soft
3,0.8896846,train,0.81620806,0.6840044582892744,gumbel_soft
3,0.8896846,val,0.7986038,0.6930520611573446,gumbel_soft
3,0.8896846,test,0.8409149,0.6786210892236385,gumbel_soft
4,0.7542447,train,0.69215894,0.7319667914606613,gumbel_soft
4,0.7542447,val,0.6930196,0.7313721695374492,gumbel_soft
4,0.7542447,test,0.7007607,0.7307068366164542,gumbel_soft
5,0.6673657,train,0.6588456,0.7368680517847447,gumbel_soft
5,0.6673657,val,0.68173015,0.7261467002128895,gumbel_soft
5,0.6673657,test,0.6683034,0.7367323290845886,gumbel_soft
6,0.5677109,train,0.527997,0.7936326483953017,gumbel_soft
6,0.5677109,val,0.51740605,0.8033675246758274,gumbel_soft
6,0.5677109,test,0.5236036,0.7926998841251448,gumbel_soft
7,0.48593912,train,0.45012558,0.8372295733188534,gumbel_soft
7,0.48593912,val,0.45693454,0.8359460679956132,gumbel_soft
7,0.48593912,test,0.44792193,0.8391077636152955,gumbel_soft
8,0.42567506,train,0.38312644,0.8630790774770656,gumbel_soft
8,0.42567506,val,0.39194533,0.860396103477195,gumbel_soft
8,0.42567506,test,0.41220975,0.8518539976825029,gumbel_soft
9,0.36604688,train,0.36207238,0.8614286530822212,gumbel_soft
9,0.36604688,val,0.35829476,0.8651699890329656,gumbel_soft
9,0.36604688,test,0.35155016,0.8683082271147161,gumbel_soft
10,0.33453083,train,0.32094756,0.8864136492240862,gumbel_soft
10,0.33453083,val,0.324014,0.8833623637184698,gumbel_soft
10,0.33453083,test,0.31321985,0.8955967555040556,gumbel_soft
11,0.31211966,train,0.30780104,0.8760752764996713,gumbel_soft
11,0.31211966,val,0.30772588,0.8744597122766273,gumbel_soft
11,0.31211966,test,0.3102195,0.8773464658169178,gumbel_soft
12,0.26685703,train,0.25137872,0.9132991340630447,gumbel_soft
12,0.26685703,val,0.25141788,0.9158763950712857,gumbel_soft
12,0.26685703,test,0.25485808,0.909965237543453,gumbel_soft
13,0.2449121,train,0.22489113,0.9232945614586608,gumbel_soft
13,0.2449121,val,0.2243828,0.9220050319334236,gumbel_soft
13,0.2449121,test,0.22575144,0.9220741599073001,gumbel_soft
14,0.2244341,train,0.20860563,0.9332256866051271,gumbel_soft
14,0.2244341,val,0.20497774,0.9395522869492291,gumbel_soft
14,0.2244341,test,0.20866266,0.9366743916570104,gumbel_soft
