epoch,epoch_loss,split,loss,acc,sample_fn
0,2.2063363,train,1.4621153,0.3622316401658108,gumbel_soft
0,2.2063363,val,1.4755406,0.3633217993079585,gumbel_soft
0,2.2063363,test,1.4807802,0.35668789808917195,gumbel_soft
1,1.3271558,train,1.2800122,0.448740951556023,gumbel_soft
1,1.3271558,val,1.2964016,0.4431833910034602,gumbel_soft
1,1.3271558,test,1.2994015,0.44211315099288123,gumbel_soft
2,1.2606196,train,1.2446196,0.4626771020231393,gumbel_soft
2,1.2606196,val,1.2480371,0.4602076124567474,gumbel_soft
2,1.2606196,test,1.2584933,0.45660047458473835,gumbel_soft
3,1.2237253,train,1.201972,0.4775567654519582,gumbel_soft
3,1.2237253,val,1.1991249,0.4822145328719723,gumbel_soft
3,1.2237253,test,1.2056514,0.47246159610340954,gumbel_soft
4,1.1727744,train,1.1363236,0.5089711068489761,gumbel_soft
4,1.1727744,val,1.1397753,0.5033910034602076,gumbel_soft
4,1.1727744,test,1.150245,0.5010615711252654,gumbel_soft
5,1.0902023,train,1.0268525,0.5657365588071521,gumbel_soft
5,1.0902023,val,1.0286806,0.5674740484429066,gumbel_soft
5,1.0902023,test,1.026915,0.5597602098164106,gumbel_soft
6,0.9583842,train,0.87565196,0.6570098372826827,gumbel_soft
6,0.9583842,val,0.8580043,0.6626989619377163,gumbel_soft
6,0.9583842,test,0.8760077,0.6515548894717123,gumbel_soft
7,0.8069968,train,0.7397815,0.7454989791499103,gumbel_soft
7,0.8069968,val,0.7190066,0.7541868512110727,gumbel_soft
7,0.8069968,test,0.7377987,0.7454727113775447,gumbel_soft
8,0.68141145,train,0.6368513,0.78979768607313,gumbel_soft
8,0.68141145,val,0.60033524,0.8001384083044982,gumbel_soft
8,0.68141145,test,0.63332254,0.7895591357562133,gumbel_soft
9,0.61048645,train,0.58160603,0.8014601249767989,gumbel_soft
9,0.61048645,val,0.55548847,0.8094117647058824,gumbel_soft
9,0.61048645,test,0.5689961,0.8005495191707256,gumbel_soft
10,0.5678589,train,0.5552157,0.8026820515993318,gumbel_soft
10,0.5678589,val,0.53857595,0.8148096885813149,gumbel_soft
10,0.5678589,test,0.5584427,0.800924191332584,gumbel_soft
11,0.54068935,train,0.5269361,0.8140970116933738,gumbel_soft
11,0.54068935,val,0.50745946,0.8226989619377163,gumbel_soft
11,0.54068935,test,0.5124781,0.8156612963656801,gumbel_soft
12,0.51633674,train,0.49983108,0.8185361628410567,gumbel_soft
12,0.51633674,val,0.47971767,0.8279584775086505,gumbel_soft
12,0.51633674,test,0.48868093,0.8239040839265642,gumbel_soft
13,0.4838341,train,0.47632772,0.8264090824723133,gumbel_soft
13,0.4838341,val,0.4659943,0.831833910034602,gumbel_soft
13,0.4838341,test,0.46899614,0.8297739477956788,gumbel_soft
14,0.47184983,train,0.46363947,0.832224834498546,gumbel_soft
14,0.47184983,val,0.4595612,0.8330795847750865,gumbel_soft
14,0.47184983,test,0.45190853,0.8361433745472712,gumbel_soft
15,0.45677128,train,0.43872276,0.8415671595619625,gumbel_soft
15,0.45677128,val,0.42692143,0.8531487889273356,gumbel_soft
15,0.45677128,test,0.4364923,0.8430123641813413,gumbel_soft
16,0.44053108,train,0.4093136,0.8486357730619316,gumbel_soft
16,0.44053108,val,0.40043336,0.8535640138408305,gumbel_soft
16,0.44053108,test,0.39342615,0.8505058074185088,gumbel_soft
17,0.36970645,train,0.32428002,0.8813648456350925,gumbel_soft
17,0.36970645,val,0.3242106,0.8827681660899654,gumbel_soft
17,0.36970645,test,0.31377652,0.8864743349569127,gumbel_soft
18,0.27632594,train,0.21948692,0.9305667264740457,gumbel_soft
18,0.27632594,val,0.20190205,0.9395155709342561,gumbel_soft
18,0.27632594,test,0.20443931,0.9356812788809792,gumbel_soft
19,0.18825522,train,0.17088793,0.9491585720472685,gumbel_soft
19,0.18825522,val,0.1670891,0.9511418685121107,gumbel_soft
19,0.18825522,test,0.15478271,0.9510428375171724,gumbel_soft
20,0.15025826,train,0.13348141,0.9642857142857143,gumbel_soft
