epoch,epoch_loss,split,loss,acc,sample_fn
0,2.6064513,train,1.9040519,0.4232697617933009,gumbel_soft
0,2.6064513,val,1.8719672,0.4346678128453887,gumbel_soft
0,2.6064513,test,1.8735505,0.4346489266547406,gumbel_soft
1,1.8347758,train,1.7745563,0.44606595971314783,gumbel_soft
1,1.8347758,val,1.7409916,0.4541937860739285,gumbel_soft
1,1.8347758,test,1.748059,0.4571779964221825,gumbel_soft
2,1.7441497,train,1.7111773,0.44648660384143074,gumbel_soft
2,1.7441497,val,1.6830816,0.455790249293872,gumbel_soft
2,1.7441497,test,1.6835067,0.456283542039356,gumbel_soft
3,1.6891893,train,1.6619616,0.4477621053917079,gumbel_soft
3,1.6891893,val,1.63033,0.4533955544639568,gumbel_soft
3,1.6891893,test,1.6383213,0.46002906976744184,gumbel_soft
4,1.6356549,train,1.599863,0.4532101253112427,gumbel_soft
4,1.6356549,val,1.5748332,0.4570182979245978,gumbel_soft
4,1.6356549,test,1.5797184,0.4602526833631485,gumbel_soft
5,1.5688978,train,1.5262104,0.46500173006859213,gumbel_soft
5,1.5688978,val,1.4960634,0.47126366204101683,gumbel_soft
5,1.5688978,test,1.5037668,0.4751788908765653,gumbel_soft
6,1.4963648,train,1.4624631,0.47534821870780836,gumbel_soft
6,1.4963648,val,1.4349122,0.4786933562569078,gumbel_soft
6,1.4963648,test,1.4463533,0.4814400715563506,gumbel_soft
7,1.4413108,train,1.4107893,0.48260772221204534,gumbel_soft
7,1.4413108,val,1.3953098,0.48557042858897215,gumbel_soft
7,1.4413108,test,1.3932582,0.49178220035778175,gumbel_soft
8,1.3829095,train,1.3519381,0.49553235228267284,gumbel_soft
8,1.3829095,val,1.3363829,0.496807073560113,gumbel_soft
8,1.3829095,test,1.3452342,0.4996086762075134,gumbel_soft
9,1.3372915,train,1.310756,0.5000373152049283,gumbel_soft
9,1.3372915,val,1.3003483,0.5052192066805845,gumbel_soft
9,1.3372915,test,1.305939,0.5016771019677997,gumbel_soft
10,1.2965987,train,1.2823354,0.5057227955194615,gumbel_soft
10,1.2965987,val,1.2686217,0.5068770723320644,gumbel_soft
10,1.2965987,test,1.2738501,0.5117956171735242,gumbel_soft
11,1.2643727,train,1.251833,0.5178197064989518,gumbel_soft
11,1.2643727,val,1.2388861,0.5171312783986246,gumbel_soft
11,1.2643727,test,1.2339276,0.5252124329159212,gumbel_soft
12,1.2291584,train,1.2060984,0.5257780220227555,gumbel_soft
12,1.2291584,val,1.2065535,0.5259118261083139,gumbel_soft
12,1.2291584,test,1.1900045,0.533038908765653,gumbel_soft
13,1.2101218,train,1.1950018,0.5284850705257373,gumbel_soft
13,1.2101218,val,1.1909747,0.5322976789880879,gumbel_soft
13,1.2101218,test,1.1760896,0.537399373881932,gumbel_soft
14,1.1888838,train,1.1935413,0.5319723460408567,gumbel_soft
14,1.1888838,val,1.1892388,0.5361660321748741,gumbel_soft
14,1.1888838,test,1.170238,0.5410889982110912,gumbel_soft
15,1.1794741,train,1.1706318,0.5355817440448325,gumbel_soft
15,1.1794741,val,1.1803691,0.5317450571042613,gumbel_soft
15,1.1794741,test,1.1730659,0.5391323792486583,gumbel_soft
16,1.1700448,train,1.1435235,0.5427734017219271,gumbel_soft
16,1.1700448,val,1.1454687,0.5429817020754022,gumbel_soft
16,1.1700448,test,1.1277133,0.5487477638640429,gumbel_soft
17,1.1460462,train,1.1331606,0.5441438874302036,gumbel_soft
17,1.1460462,val,1.1300172,0.5475254820090876,gumbel_soft
17,1.1460462,test,1.1161431,0.5490831842576028,gumbel_soft
18,1.1429482,train,1.1296048,0.5473122875577537,gumbel_soft
18,1.1429482,val,1.12196,0.5472184698514061,gumbel_soft
18,1.1429482,test,1.1297491,0.5460084973166368,gumbel_soft
19,1.1473331,train,1.1412668,0.544408486156059,gumbel_soft
19,1.1473331,val,1.1552744,0.5357976175856564,gumbel_soft
19,1.1473331,test,1.1498135,0.5423747763864043,gumbel_soft
20,1.1496876,train,1.121293,0.5479771766637493,gumbel_soft
20,1.1496876,val,1.1197293,0.5462974333783618,gumbel_soft
20,1.1496876,test,1.1207601,0.5481887298747764,gumbel_soft
21,1.1317527,train,1.1244359,0.5476786550243228,gumbel_soft
21,1.1317527,val,1.1151087,0.5521920668058455,gumbel_soft
21,1.1317527,test,1.118393,0.5535554561717353,gumbel_soft
22,1.1367292,train,1.1313845,0.5467966592714715,gumbel_soft
22,1.1367292,val,1.1241586,0.5509640181751198,gumbel_soft
22,1.1367292,test,1.1224856,0.551487030411449,gumbel_soft
23,1.1369989,train,1.1286559,0.5500668281397353,gumbel_soft
23,1.1369989,val,1.1248944,0.5460518236522166,gumbel_soft
23,1.1369989,test,1.1204448,0.5518224508050089,gumbel_soft
24,1.1264219,train,1.1136415,0.5492323244658838,gumbel_soft
24,1.1264219,val,1.0962223,0.5532973105734987,gumbel_soft
24,1.1264219,test,1.0970285,0.5583631484794276,gumbel_soft
25,1.1251789,train,1.1206349,0.5467627363579003,gumbel_soft
25,1.1251789,val,1.1145074,0.5506570060174383,gumbel_soft
25,1.1251789,test,1.1272615,0.5462321109123435,gumbel_soft
26,1.1312796,train,1.1097268,0.5538051332152816,gumbel_soft
26,1.1312796,val,1.1162858,0.5550165786565148,gumbel_soft
26,1.1312796,test,1.1062024,0.5510957066189625,gumbel_soft
