epoch,epoch_loss,split,loss,acc,sample_fn
15,0.7247507,train,0.7399194,0.6971801740069353,gumbel_soft
15,0.7247507,val,0.7516274,0.6959472020821714,gumbel_soft
15,0.7247507,test,0.7531306,0.7123150238274392,gumbel_soft
16,0.6898709,train,0.6632452,0.7180900766211923,gumbel_soft
16,0.6898709,val,0.69358534,0.7077523703290575,gumbel_soft
16,0.6898709,test,0.6820065,0.7040381239026837,gumbel_soft
17,0.6248311,train,0.61566174,0.7701779522000042,gumbel_soft
17,0.6248311,val,0.62937397,0.7744004461795873,gumbel_soft
17,0.6248311,test,0.6348393,0.764651784967812,gumbel_soft
18,0.60048056,train,0.5717117,0.7518324716044769,gumbel_soft
18,0.60048056,val,0.59135324,0.7479085331846068,gumbel_soft
18,0.60048056,test,0.59396595,0.7404899255915057,gumbel_soft
19,0.5786535,train,0.557919,0.8029651778483773,gumbel_soft
19,0.5786535,val,0.5729549,0.7936419408812047,gumbel_soft
19,0.5786535,test,0.5615178,0.8111361926260346,gumbel_soft
20,0.5426765,train,0.5499589,0.7714445897962997,gumbel_soft
20,0.5426765,val,0.57712966,0.7620375534485964,gumbel_soft
20,0.5426765,test,0.5602627,0.7651534152662821,gumbel_soft
21,0.545587,train,0.53869927,0.8053531011856558,gumbel_soft
21,0.545587,val,0.54824597,0.8077709611451943,gumbel_soft
21,0.545587,test,0.5455087,0.8068723350890393,gumbel_soft
22,0.51488465,train,0.50300974,0.8123611370667996,gumbel_soft
22,0.51488465,val,0.50174636,0.8209704406023425,gumbel_soft
22,0.51488465,test,0.5256981,0.8064543098403144,gumbel_soft
23,0.50324214,train,0.4854843,0.8147179135779398,gumbel_soft
23,0.50324214,val,0.48314282,0.8236661089421825,gumbel_soft
23,0.50324214,test,0.503003,0.8126410835214447,gumbel_soft
24,0.5184067,train,0.48980257,0.8210199547332794,gumbel_soft
24,0.5184067,val,0.48349053,0.825246328313813,gumbel_soft
24,0.5184067,test,0.503836,0.8144803946158348,gumbel_soft
25,0.5029371,train,0.46740097,0.8362403704395855,gumbel_soft
25,0.5029371,val,0.4786181,0.8377951292061722,gumbel_soft
25,0.5029371,test,0.48422596,0.8342111863556558,gumbel_soft
26,0.5030895,train,0.47111112,0.8469756431819597,gumbel_soft
26,0.5030895,val,0.56090605,0.8194831753113961,gumbel_soft
26,0.5030895,test,0.4879109,0.8404815650865313,gumbel_soft
27,0.4742765,train,0.45699736,0.8456570942087668,gumbel_soft
27,0.4742765,val,0.4858398,0.8377951292061722,gumbel_soft
27,0.4742765,test,0.4634967,0.8453306579717415,gumbel_soft
28,0.45832232,train,0.46536228,0.8383895014431363,gumbel_soft
28,0.45832232,val,0.5071919,0.8310094813162298,gumbel_soft
28,0.45832232,test,0.4799209,0.836384917649026,gumbel_soft
